Thành_Phố,Thành_Phố_Encoded,Quận_Huyện,Quận_Huyện_Encoded,Giá_Cho_Thuê,Log_Giá,Diện_Tích_m2,Log_Diện_Tích,Tổng_Tiện_Ích,Máy_Lạnh,Nóng_Lạnh,Thang_Máy,Tủ_Lạnh,Máy_Giặt,Đầy_Đủ_Nội_Thất,Có_Gác_Lửng,Bảo_Vệ_An_Ninh,Giờ_Tự_Do,Không_Chung_Chủ
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.5,1.252762968495368,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,4.0,1.6094379124341003,35.0,3.58351893845611,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,2.0,1.0986122886681098,25.0,3.258096538021482,1,0,0,0,0,0,0,1,0,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.8,1.33500106673234,28.0,3.367295829986474,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,4.5,1.7047480922384253,40.0,3.713572066704308,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,0.9,0.6418538861723948,16.0,2.833213344056216,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,3.2,1.4350845252893227,25.0,3.258096538021482,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,1.8,1.0296194171811583,15.0,2.772588722239781,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.8,1.33500106673234,20.0,3.044522437723423,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,3.0,1.3862943611198906,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.3,1.1939224684724346,21.0,3.091042453358316,4,1,1,0,0,0,0,1,1,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.5,1.252762968495368,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,1.5,0.9162907318741551,15.0,2.772588722239781,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.3,1.1939224684724346,25.0,3.258096538021482,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.5,1.252762968495368,25.0,3.258096538021482,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,1.2,0.7884573603642702,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Sơn Trà,2.4669736842105263,3.5,1.5040773967762742,40.0,3.713572066704308,0,0,0,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,2.2,1.1631508098056809,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hải Châu,2.3805084745762715,1.2,0.7884573603642702,40.0,3.713572066704308,2,1,1,0,0,0,0,0,0,0,0
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,1.7,0.9932517730102833,20.0,3.044522437723423,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,3.5,1.5040773967762742,30.0,3.4339872044851463,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Liên Chiểu,1.8189781021897808,2.8,1.33500106673234,30.0,3.4339872044851463,5,1,1,0,0,1,0,1,0,1,0
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,2.8,1.33500106673234,25.0,3.258096538021482,10,1,1,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,3.3,1.4586150226995167,25.0,3.258096538021482,4,1,1,0,0,0,1,0,1,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,4.0,1.6094379124341003,22.0,3.1354942159291497,5,1,1,0,1,1,0,0,1,0,0
Đà Nẵng,2.200209497206704,Cẩm Lệ,2.2255813953488373,2.3,1.1939224684724346,22.0,3.1354942159291497,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,2.0,1.0986122886681098,25.0,3.258096538021482,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Hoà Vang,1.5333333333333332,2.5,1.252762968495368,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
Đà Nẵng,2.200209497206704,Thanh Khê,2.039622641509434,2.5,1.252762968495368,25.0,3.258096538021482,4,1,1,0,0,0,0,1,1,0,0
Đà Nẵng,2.200209497206704,Ngũ Hành Sơn,2.389770114942529,4.6,1.7227665977411035,30.0,3.4339872044851463,9,1,0,1,1,1,1,1,1,1,1
